Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (OBO),2015 Honda Civic LX Clean Title Carfax,2015,Civic,9995,8767,https://palmsprings.craigslist.org/cto/d/2015-honda-civic-lx-clean/6499217680.html,2018-02-16 14:37,1,0.14007071974449642
 (OBO),2015 Honda Civic LX Clean Title Carfax,2015,Civic,9995,8767,https://palmsprings.craigslist.org/cto/d/2015-honda-civic-lx-clean/6499217680.html,2018-02-16 14:37,1,0.14007071974449642
 (OBO),2015 Honda Civic LX Clean Title Nice and Clean 80k Miles,2015,Civic,9995,8767,https://sandiego.craigslist.org/nsd/cto/d/2015-honda-civic-lx-clean/6496995679.html,2018-02-14 19:09,2,0.14007071974449642
 (OBO),2015 Honda Civic LX Clean Title Nice and Clean 80k Miles,2015,Civic,9995,8767,https://sandiego.craigslist.org/nsd/cto/d/2015-honda-civic-lx-clean/6496995679.html,2018-02-14 19:09,2,0.14007071974449642
 (OBO),2015 Honda Civic LX Clean Title Nice and Clean 72k Miles,2015,Civic,9995,8767,https://palmsprings.craigslist.org/cto/d/2015-honda-civic-lx-clean/6497038420.html,2018-02-14 20:23,2,0.14007071974449642
 (OBO),2015 Honda Civic sedan clean title+carfax,2015,Civic,9995,8767,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-civic-sedan-clean/6496789453.html,2018-02-14 15:02,3,0.14007071974449642
 (OBO),2015 Honda Civic LX Clean Title Nice and Clean Sedan,2015,Civic,9995,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-lx-clean/6496788797.html,2018-02-14 15:02,3,0.14007071974449642
 (OBO),2015 Honda Civic sedan clean title+carfax,2015,Civic,9995,8767,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-civic-sedan-clean/6496789453.html,2018-02-14 15:02,3,0.14007071974449642
 (OBO),2015 Honda Civic LX Clean Title Nice and Clean Sedan,2015,Civic,9995,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-lx-clean/6496788797.html,2018-02-14 15:02,3,0.14007071974449642
 (Thousand Oaks),2015 Honda Civic,2015,Civic,10000,8767,https://ventura.craigslist.org/cto/d/2015-honda-civic/6487955574.html,2018-02-15 09:00,2,0.14064104026462873
 (Pacific Beach),2008 Honda Civic,2008,Civic,6200,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6449083905.html,2018-02-02 17:30,15,0.14814814814814814
 (Pacific Beach),2008 Honda Civic,2008,Civic,6200,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6449083905.html,2018-02-02 17:30,15,0.14814814814814814
 (national city),2011 Honda Civic Sedan Automatic --- LOW MILES,2011,Civic,7600,6613,https://sandiego.craigslist.org/ssd/cto/d/2011-honda-civic-sedan/6478786787.html,2018-01-30 14:31,18,0.14925147436866779
 (Whittier),2014 honda civic lx clean title low miles gas saver,2014,Civic,8950,7719,https://losangeles.craigslist.org/wst/cto/d/2014-honda-civic-lx-clean/6470216546.html,2018-02-15 12:14,2,0.1594766161419873
 (KOREA TOWN),2013 HONDA CIVIC * CLEAN TITLE # BY OWNER,2013,Civic,9200,7860,https://losangeles.craigslist.org/lac/cto/d/2013-honda-civic-clean-title/6498296823.html,2018-02-15 21:46,1,0.17048346055979643
 (KOREA TOWN),HONDA CIVIC 2013 !! MUST SEE // SELL BY OWNER* CLEAN TITLE,2013,Civic,9200,7860,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2013-must-see/6499051142.html,2018-02-16 12:38,1,0.17048346055979643
" (Riverside, CA)",2009 Honda Civic Hybrid,2009,Civic,6500,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic-hybrid/6499393062.html,2018-02-16 17:17,1,0.1882998171846435
 (Fontana ca),2007 Honda Civic ex,2007,Civic,6300,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex/6498343117.html,2018-02-16 00:12,1,0.19047619047619047
 (Fontana ca),2007 Honda Civic ex,2007,Civic,6300,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic-ex/6498343117.html,2018-02-16 00:12,1,0.19047619047619047
 (San diego),2008 honda civic,2008,Civic,6450,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6492620981.html,2018-02-11 08:29,6,0.19444444444444445
 (San diego),2008 honda civic,2008,Civic,6450,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6492620981.html,2018-02-11 08:29,6,0.19444444444444445
 (Los Angeles),2011 Honda Civic LX (No Accident & Clean Title),2011,Civic,7900,6613,https://losangeles.craigslist.org/lac/cto/d/2011-honda-civic-lx-no/6495367050.html,2018-02-15 12:01,2,0.19461666414637835
